Timestamp,Transaction_Amount,Location,Merchant_Category,Is_Weekend,Risk_Score,Fraud_Label
2023-08-14 19:30:00,39.79,Sydney,Travel,0,0.8494,0
2023-06-07 04:01:00,1.19,New York,Clothing,0,0.0959,1
2023-06-20 15:25:00,28.96,Mumbai,Restaurants,0,0.84,1
2023-12-07 00:31:00,254.32,New York,Clothing,0,0.7935,1
2023-11-11 23:44:00,31.28,Mumbai,Electronics,1,0.3819,1
2023-06-05 20:55:00,168.55,Tokyo,Restaurants,0,0.0504,0
2023-11-07 01:18:00,3.79,London,Restaurants,0,0.0875,0
2023-02-25 03:43:00,7.08,London,Restaurants,0,0.5326,1
2023-03-09 22:51:00,34.25,Tokyo,Clothing,1,0.1347,0
2023-09-20 17:27:00,16.24,Mumbai,Travel,0,0.3394,0
2023-04-11 07:11:00,367.5,Mumbai,Electronics,0,0.643,0
2023-08-06 08:22:00,50.44,London,Travel,0,0.4582,0
2023-07-20 03:10:00,55.5,London,Groceries,0,0.5837,1
2023-11-17 20:13:00,54.09,Sydney,Electronics,0,0.1454,0
2023-06-20 17:15:00,9.66,New York,Electronics,1,0.0793,0
2023-07-03 09:20:00,64.78,Mumbai,Restaurants,0,0.2245,0
2023-12-21 08:48:00,37.11,Sydney,Electronics,1,0.1136,0
2023-04-08 09:13:00,1.58,New York,Clothing,0,0.3433,0
2023-08-16 10:01:00,178.56,Tokyo,Groceries,1,0.444,1
2023-04-29 04:34:00,19.37,London,Travel,0,0.2924,0
2023-12-28 04:45:00,22.02,Sydney,Electronics,1,0.1305,0
2023-06-18 23:36:00,203.97,New York,Restaurants,1,0.8633,1
2023-05-11 16:15:00,55.35,Sydney,Electronics,1,0.7883,0
2023-11-25 07:35:00,17.17,Sydney,Electronics,0,0.0233,0
2023-08-14 21:55:00,72.33,Sydney,Clothing,1,0.408,1
2023-07-16 07:49:00,188.75,Sydney,Travel,0,0.1379,0
2023-01-11 00:41:00,2.61,Tokyo,Groceries,0,0.5355,0
2023-11-28 19:13:00,195.76,Mumbai,Travel,1,0.2553,0
2023-07-09 22:27:00,8.06,Sydney,Travel,0,0.4784,1
2023-04-20 13:18:00,73.34,London,Clothing,0,0.4097,0
2023-11-08 14:12:00,9.82,Sydney,Electronics,0,0.9658,1
2023-04-29 17:19:00,197.21,Sydney,Electronics,0,0.8843,1
2023-08-22 00:16:00,56.45,Mumbai,Restaurants,0,0.6745,0
2023-11-18 02:35:00,0.32,Sydney,Electronics,1,0.5475,0
2023-04-24 20:18:00,63.83,Sydney,Restaurants,0,0.6558,0
2023-04-11 16:20:00,147.71,Sydney,Restaurants,0,0.1327,0
2023-04-12 10:16:00,127.57,London,Travel,1,0.7918,0
2023-12-07 08:06:00,15.24,Mumbai,Travel,0,0.5575,0
2023-01-18 06:08:00,80.4,New York,Travel,0,0.8746,1
2023-04-27 06:32:00,3.13,Mumbai,Restaurants,0,0.4547,0
2023-08-18 15:21:00,9.53,Tokyo,Groceries,1,0.3199,0
2023-07-22 00:15:00,24.73,New York,Clothing,1,0.8063,0
2023-12-24 09:13:00,138.21,New York,Electronics,0,0.703,0
2023-04-25 12:12:00,39.63,Tokyo,Travel,0,0.5676,1
2023-11-10 20:46:00,11.77,London,Groceries,1,0.7972,1
2023-05-18 18:25:00,129.22,London,Clothing,0,0.7823,0
2023-07-13 16:27:00,13.36,New York,Groceries,0,0.8096,0
2023-03-10 02:01:00,272.93,London,Groceries,0,0.3406,0
2023-02-16 03:22:00,23.69,Tokyo,Restaurants,0,0.6866,0
2023-10-08 19:40:00,70.81,Mumbai,Electronics,1,0.5454,0
2023-05-07 04:16:00,22.63,New York,Groceries,1,0.3183,0
2023-08-31 05:34:00,92.27,Mumbai,Travel,0,0.9537,1
2023-02-24 10:48:00,112.72,London,Clothing,0,0.1398,0
2023-09-12 12:46:00,213.77,Mumbai,Clothing,1,0.1848,0
2023-03-14 18:56:00,3.06,Sydney,Electronics,0,0.0077,0
2023-07-18 22:17:00,308.73,Mumbai,Clothing,0,0.6362,0
2023-04-27 10:23:00,18.98,Sydney,Clothing,0,0.9372,1
2023-06-08 07:01:00,38.1,Mumbai,Restaurants,0,0.7429,0
2023-04-15 02:12:00,69.78,New York,Restaurants,1,0.9892,1
2023-01-07 17:23:00,29.6,London,Groceries,0,0.4975,0
2023-04-21 10:33:00,231.0,London,Restaurants,0,0.8829,1
2023-07-26 12:48:00,24.48,Mumbai,Electronics,0,0.319,0
